,nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
0,17722361,2019년 4월 사업소_상수도사업본부_서부수도사업소_현장민원과 업무추진비 내역,http://opengov.seoul.go.kr/public/17722361,사업소,상수도사업본부,서부수도사업소,현장민원과,,2019,4,,,,서부수도사업소 현장민원과,2019-04-25 13:36,하모니마트(서대문구 통일로34길 48),민원인접대 및 간담회용 차류 등 구매,민원인 및 전직원,카드,41000
1,17722361,2019년 4월 사업소_상수도사업본부_서부수도사업소_현장민원과 업무추진비 내역,http://opengov.seoul.go.kr/public/17722361,사업소,상수도사업본부,서부수도사업소,현장민원과,,2019,4,,,,서부수도사업소 현장민원과,2019-04-24 12:17,홍성녹우촌(홍은동 벽산A상가 2),계량기 교체실적 제고 간담회,현장민원과장 외 3명,카드,45000
2,17722361,2019년 4월 사업소_상수도사업본부_서부수도사업소_현장민원과 업무추진비 내역,http://opengov.seoul.go.kr/public/17722361,사업소,상수도사업본부,서부수도사업소,현장민원과,,2019,4,,,,서부수도사업소 현장민원과,2019-04-18 11:49,홍은손칼국수(서대문구 홍은동 48-100),현장민원담당자 소통 간담회,현장민원과장 외 5명,카드,46000
3,17722361,2019년 4월 사업소_상수도사업본부_서부수도사업소_현장민원과 업무추진비 내역,http://opengov.seoul.go.kr/public/17722361,사업소,상수도사업본부,서부수도사업소,현장민원과,,2019,4,,,,서부수도사업소 현장민원과,2019-04-17 12:32,하모니마트(서대문구 통일로34길 48),민원인접대 및 간담회용 차류 등 구매,민원인 및 전직원,카드,94600
4,17722361,2019년 4월 사업소_상수도사업본부_서부수도사업소_현장민원과 업무추진비 내역,http://opengov.seoul.go.kr/public/17722361,사업소,상수도사업본부,서부수도사업소,현장민원과,,2019,4,,,,서부수도사업소 현장민원과,2019-04-10 12:50,백연식당(서대문구 홍은동 산26-4),계량기교체 계획 관련 업무 간담회,소장 외 6명,카드,95000
5,17722361,2019년 4월 사업소_상수도사업본부_서부수도사업소_현장민원과 업무추진비 내역,http://opengov.seoul.go.kr/public/17722361,사업소,상수도사업본부,서부수도사업소,현장민원과,,2019,4,,,,서부수도사업소 현장민원과,2019-04-02 14:08,하모니마트(서대문구 통일로34길 48),민원인접대 및 간담회용 차류 등 구매,민원인 및 전직원,카드,72500
6,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-30 22:30,신의주찹쌀순대 (중구 서소문동),입법 및 자료수집 간담회,수석전문위원외15,카드,370000
7,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-30 12:14,예향 (중구 서소문동),입법 및 자료수집 간담회,수석전문위원외 1,카드,16000
8,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-29 12:48,천상 (중구 서소문동),대중교통 버스 증차관련 간담회 추진,수석전문위원외 2,카드,49000
9,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-26 20:25,하남돼지집 (중구 세종대로),대중교통 버스 증차관련 간담회 추진,수석전문위원외 3,카드,88000
10,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-25 12:30,어반스테이 (중구 서소문동),제286회 임시회관련 업무추진 간담회,수석전문위원외 1,카드,12000
11,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-22 22:59,도리방 (중구 다동),공항활성화 조례개정 관련 간담회,수석전문위원외 1,카드,46000
12,17936619,2019년 4월 의회사무처_교통전문위원실 업무추진비 내역,http://opengov.seoul.go.kr/public/17936619,의회사무처,교통전문위원실,,,,2019,4,,,,시의회교통전문위원실,2019-04-09 22:15,북창터 (중구 세종대로),조례안 검토관련 간담회 추진,수석전문위원외 4,카드,96000
13,17746111,2019년 4월 소방재난본부(소방서) 강남소방서 소방행정과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/17746111,소방재난본부(소방서),강남소방서,소방행정과,,,2019,4,,,,강남소방서  세곡119 안전센터,2019-04-22 13:00,진미횟집(강남구 광평로 51길8) (강남구 헌릉로569길),봄철 화재예방 및 직원과의 소통강화,안전센터 팀장 등 9명,카드,200000
