,nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
0,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-29 12:04,신가원　설렁탕 (서울 중구 을지로1길 10),아동돌봄도우미 사업 추진 관련 간담회,가족지원팀장외 4명,카드,56000
1,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-28 20:24,（주）바닷가작은부엌 (서울 중구 덕수궁길 7),아동복지시설 생활아동 성·건강교육 추진 관련 간담회,가족담당관외 9명,카드,120000
2,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-27 12:49,참숯골 (서울 중구 무교로 16),행복도시락 북부플러스센터 운영 관련 간담회,아동복지팀장외 4명,카드,52000
3,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-23 12:52,（주）바이오비즈　이 (서울 중구 을지로 6),어린이 실내 놀이터 설치 추진 간담회,아동친화도시팀장외 9명,카드,108000
4,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-21 16:41,청오디피케이（주）서 (서울 서대문구 통일로 149-1),부서내 생일이 도래한 직원을 격려,가족담당관 직원 20명,카드,170100
5,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-19 12:33,구이구이 (서울 중구 을지로 6),아이돌보미 확충 추진 간담회,출산장려팀장외 7명,카드,92000
6,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-15 22:34,덕암조개구이 (충남 서천군 서면 부사로 276),건강가정지원센터 워크숍 행사,가족담당관외 8명,카드,101000
7,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-14 13:14,（주）월향 (서울 마포구 와우산로29길 27),서울시 건강가정지원센터  워크숍 개최 관련 간담회,가족담당관외 9명,카드,105000
8,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-12 12:01,충무집 (서울 중구 남대문로9길 24),아동친화도시 기본계획 수립 관련 간담회,아동친화도시팀장외 10명,카드,144000
9,15144740,2018년 3월 서울시본청_여성가족정책실_가족담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/15144740,서울시본청,여성가족정책실,가족담당관,,,2018,3,,,,여성가족정책실 가족담당관,2018-03-12 12:05,샐러드스탑　서울시청 (서울 중구 남대문로9길 40),아동친화도시 기본계획 수립 관련 간담회,아동친화도시팀장외 10명,카드,15000
