,nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
0,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-31 19:57,구이구이 서울특별시 중구 을지로 6,도시외교 기본계획 개선관련 연구용역 및 협력방안 논의 간담회,국제교류담당관 등 6명,카드,143000
1,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-31 12:39,왕비집 시청무교점 서울특별시 중구 무교로 19,서울평화포럼 준비위원회 구성 및 향후 추진방향 논의,국제교류담당관 등 3명,카드,24000
2,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-30 19:18,반포식스 서울 중구 무교동 24-2,중국 순방 지원 근무 관련 협의 간담회 비용 지급,중국팀장 등 6명,카드,84000
3,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-30 14:01,(주)에스지다인힐붓처스컷광화 서울  중구  세종대로  136,서울평화포럼(가칭) 연사 초청 등 관련 자문 간담회,국제관계대사 등 4명,카드,78000
4,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-29 20:10,주식회사 크라운에셋 서울 중구 남대문로7길 19,글로벌파트너스 기능 및 이관사업 범위 논의 간담회,국제교류담당관 등 10명,카드,251000
5,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-29 13:11,"(주)콩두에프앤씨 서울 중구 덕수궁길 116-1,",서울 평화 포럼(가칭) 조직 관련 간담회 개최 비용 지급,국제관계대사 등 6명,카드,84600
6,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-28 20:16,이스트빌리지 일도씨닭갈비 서울특별시 중구 세종대로 136,2019 1월 서울시장 순방 관련 부사간 협의를 위한 간담회,중국팀장 등 6명,카드,85000
7,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-28 17:27,주식회사 코코로키친 서울 중구 세종대로 136,인도 모디 총리 방한 관련 마하트마 간디 흉상 서울시내 설치 방안 협의 간담회,국제관계대사 등 5명,카드,55800
8,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-28 13:41,돈수백 서울  중구  남대문로9길,2019년 1월 서울시장 순방 바인더 제작 관련 간담회,국제협력관 등 8명,카드,96000
9,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-28 13:18,반포식스 서울 중구 무교동 24-2,홀로코스트 추모 행사 후속조치 논의 간담회,미주구주팀장 등 5명,카드,83500
10,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-26 14:36,이스트빌리지 일도씨닭갈비 서울특별시 중구 세종대로 136,2019 1월 중국 순방 선발대 운영 방안 논의 간담회,김은숙 주무관 등 4명,카드,56000
11,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-25 12:47,"뉴서울사진기,설리반스트리트 서울  중구  을지로",2019 겨울방학 서울시청 근무 대학생 아르바이트생 격려 간담회,국제협력관 등 5명,카드,90000
12,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-24 20:16,"온더보더 광화문 D타워점 서울 종로구 종로3길 17,","서울시장 중국, 홍콩 순방 일정 협의를 위한 실무자 간담회 개최",중국팀장 등 5명,카드,57600
13,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-24 13:14,주식회사 동원브이아이피참치 서울특별시 중구 세종대로 135,최근 한-미 정세 변화 및 서울시의 역할 간담회 비용 지급,국제관계대사 등 4명,카드,86000
14,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-24 13:04,라그릴리아광화문점 서울  종로구  청계천로,서울명예시민 선정 및 시상품관련 시민홍보방안 논의 간담회,국제정책팀장 등 4명,카드,105900
15,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-23 13:20,"(주)콩두에프앤씨 서울 중구 덕수궁길 116-1,",서울시의 다자외교 활동 방향 논의 간담회 비용 지급,국제관계대사 등 3명,카드,59600
16,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-23 12:36,(주)도레도레 서울특별시 중구 세종대로 136,서울시 국제기구  유치전략 관련 간담회,국제협력관 등 8명,카드,111000
17,17506661,2019년1월 국제교류담당관 업무추진비 내역,http://opengov.seoul.go.kr/public/17506661,서울시본청,기획조정실,국제교류담당관,,,2019,1,,,,기획조정실 국제교류담당관,2019-01-23 12:30,두르가 서울 중구 무교동 45,타이페스티벌(태국의날) 개최 논의 간담회,아시아팀장 등 6명,카드,45000
