,nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
0,18725108,2019년 8월 사업소 서울식물원 전시교육과 업무추진비 - 부서운영,http://opengov.seoul.go.kr/public/18725108,사업소,서울식물원,전시교육과,,,2019,8,,,,푸른도시국 서울식물원 전시교육과,2019-08-01 13:06,강서농협하나로마트(강서구 강서로 489),부서운영 물품(다과류)구입,전시교육과장외 7명,카드,69530
1,18725108,2019년 8월 사업소 서울식물원 전시교육과 업무추진비 - 부서운영,http://opengov.seoul.go.kr/public/18725108,사업소,서울식물원,전시교육과,,,2019,8,,,,푸른도시국 서울식물원 전시교육과,2019-08-09 15:28,드림디포 (강서구 내발산동 653),전시교육과 직원 및 내방객 응대용 차류 구입,전시교육과장외 7명,카드,95790
2,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-05 12:40,(주) 뚜리삼(중구 청계천로 8 프리미어플레이스),운영과 전출직원 격려방문 간담회비 지급,운영부장외 11명,카드,141000
3,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-07 12:44,포앤시드니중계점(노원구 동일로203가길 29),전시연계 문화공연 개최 간담회비 지급,운영부장외 7명,카드,132000
4,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-13 12:52,주식회사이랜드리테일(노원구 동일로204가길 46),2020-2021 미술관 사업관련 워크샵 비용 지급,관장외 29명,카드,88610
5,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-16 12:31,남원추어탕(노원구 동일로203가길 29 ),북서울미술관 문화행사 관련 간담회 비용 지급,운영부장외 4명,카드,63000
6,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-19 12:49,하계동닭한마리(노원구 공릉로70길 12),북서울미술관 시설물유지관리를 위해 공무직 관리업무 직원 격려 및 소통 간담회비 지급,운영부장외 3명,카드,50500
7,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-22 10:50,GS25 공릉에이스점(노원구 동일로174길 9-60),생활사 박물관 공무직 격려 방문,운영과장외 12명,카드,67700
8,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-22 12:46,르구르메(노원구 공릉동 661-20 1층),생화사 박물관 현장 견학과 업무협의 간담회 비용 지급,운영과장외 7명,카드,30900
9,18675253,2019년 8월 사업소 시립미술관 북서울미술관 운영과 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18675253,사업소,시립미술관,북서울미술관,운영과,,2019,8,,,,운영과,2019-08-23 12:53,씨제이 푸드빌(주)중계홈플러스점(노원구 중계3동),한국근현대 명화전시 시설업무 직원격려 소통간담회 비용 지급,운영과장외 2명,카드,44700
