,nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
0,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-31 18:06,태진옥(서울시 중구 무교로 17),2020 예산편성 추진을 위한 간담회,개발협력담당관 외2,제로페이,34000
1,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-30 20:43,태진옥(서울시 중구 무교로 17),2019년 하반기 인사발령 전출입 직원 등 직원격려를 위한 간담회,개발협력담당관 외15,제로페이,490000
2,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-26 12:30,창고43(서울시 중구 무교로21),현안사업 논의를 위한 간담회,개발협력담당관 외1,제로페이,24000
3,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-25 20:22,항구네(서울시 중구 무교로28),교류업무 추진을 위한 간담회,개발협력담당관 외1,제로페이,54000
4,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-24 20:15,목포세발낙지(서울시 중구 남대문로9길 20 3층),현안업무 논의를 위한 간담회,개발협력담당관 외2,제로페이,77000
5,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-15 21:37,손가명가(서울시 중구 다동 45-6),교류협력사업 논의를 위한 간담회,개발협력담당관 외3,제로페이,114000
6,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-15 12:47,동원VIP참치(서울시 중구 세종대로 22길),도시협력사업 추진을 위한 간담회,개발협력담당관 외1,제로페이,28000
7,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-11 21:23,구이구이(서울시 중구 을지로 6),도시협력 세미나 추진을 위한 간담회,개발협력담당관 외4,제로페이,107000
8,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-11 12:30,파리바게뜨 무교YG타워점(서울 중구 남대문로9길 40),부서 전출직원 격려를 위한 간담회,개발협력담당관 외3,카드,29800
9,18418885,2019년 7월 서울시본청 남북협력추진단 개발협력담당관 업무추진비 - 전체,http://opengov.seoul.go.kr/public/18418885,서울시본청,남북협력추진단,개발협력담당관,,,2019,7,,,,남북협력추진단 개발협력담당관,2019-07-10 12:26,동원VIP참치(서울시 중구 세종대로 22길),현안업무 논의를 위한 간담회,개발협력담당관 외3,제로페이,58000
